,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,Why is it easier for people to start company #2 compared to their first company?,"['would have spent 10 or 20 or 30 years building a single\ncompany — and by the time they freed up, they maybe\ndidn’t want to put that level of eWort into something again.\n•\nAlso because of the faster cycle time, when you start\ncompany #2 you can assume that it won’t necessarily\nconsume the next 10-20-30 years of your life… This makes it\neasier for people to say, OK, hey, it worked once, I’ll try it\nagain.\n•\nThe culture of startups in the Valley is clicking on all\ncylinders — everything from fundraising to hiring to\nbuilding out a management team to signing up lawyers and']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 173, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
1,How do technical degrees prepare individuals for the real world and signal seriousness of purpose to employers?,"['•\nPlus, technical degrees teach you how think like an engineer,\na scientist, an economist, or a mathematician — how to use\nreason, logic, and data. This is incredibly useful in the real\nworld, which generally demands rigorous thinking on the\npath to doing anything big.\n•\nPlus, technical degrees indicate seriousness of purpose to\nfuture employers and partners. You get coded right up front\nas someone who is intent on doing real things.\nGraduating with a technical degree is like heading out into the real\n108\nThe Pmarca Blog Archives']","Technical degrees prepare individuals for the real world by teaching them how to think like an engineer, scientist, economist, or mathematician. They learn to use reason, logic, and data, which are essential skills for rigorous thinking in real-world scenarios. Additionally, technical degrees signal seriousness of purpose to future employers and partners, indicating that the individual is intent on pursuing real-world applications and projects.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
2,What is one crucial step for media companies to take in order to successfully turnaround their business?,"['coherent message and strategy.\nThen go dark again and go right back to work.\nOf course, there’s more to being the CEO of a turnaround than\nthese 9 steps. There are a thousand other things you’re going to\nhave to do. But these are the 9 most important.\nTo quote the great Tommy Lasorda: “This fucking job ain’t that\nfucking easy.”\nAppendix for media companies only:\nStep 10: For God’s sake, stop suing your customers.\nPart 1: Turnaround!\n85']","For media companies, a crucial step in successfully turning around their business is to stop suing their customers.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 89, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
3,How can undergraduates gain real-world working experience before graduating?,"['undergrads to do some of the work, and being a staW member at\na campus computer lab or research lab.\nAnd then aggressively pursue internship and co-op programs — to\nget real-world working experience at companies in your Xeld,\nbefore you even graduate. Target the best companies in your\nXeld, and go aaer the opportunities early and oaen.\nIf you do this right, by the time you graduate even with just an\nundergrad degree, you can have a year and a half of real work-\ning experience at high-quality companies plus another four\nyears of practical experience from an on-campus job under\nyour belt.\n110']","Undergraduates can gain real-world working experience before graduating by doing some of the work themselves, being a staff member at a campus computer lab or research lab, and aggressively pursuing internship and co-op programs to work at companies in their field. By targeting the best companies early and often, undergraduates can accumulate a year and a half of real work experience at high-quality companies along with four years of practical experience from on-campus jobs by the time they graduate.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 114, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
4,"How are people abandoning older services like newspapers, magazines, television, movie theaters, and print catalogs in favor of online platforms?","['billion people online now. That is a very large market — a lot\nof people, spending a lot of time, buying a lot of things, in\ntotally new ways at the same time as they are abandoning older\nservices like newspapers, magazines, television, movie theaters,\nand print catalogs.\nSo, my view is that to call a bubble, you have to Xnd evidence of\nit outside of the mainstream of the kinds of Internet businesses\nthat are being built, sold, and run in 2007.\nIn closing, I’d be the last person to say that I never roll my eyes\nat the next startup that’s doing online wiki-based popularity-']","People are abandoning older services like newspapers, magazines, television, movie theaters, and print catalogs in favor of online platforms due to the large market of billions of people online, spending a lot of time and buying things in new ways. This shift is evident in the decline of traditional media consumption and the rise of online businesses in 2007.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 189, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
5,How can a startup ensure that they generate more revenue from a customer than it costs in sales and marketing expenses to acquire that customer?,"['sharp, because without that, you probably won’t be able to stand\nout from the noise.\nThen, model out your customer acquisition economics in detail\nand make sure that you can show how you’ll get more revenue\nfrom a customer than it will cost in sales and marketing expense\nto acquire that customer. This is a common problem for star-\ntups pursuing the small business market, for example.\nIf it turns out you need a lot of money in absolute terms for\nmarketing, look for alternate approaches — perhaps guerilla\nmarketing, or some form of virality.']","Modeling out customer acquisition economics in detail is crucial for startups to ensure that they generate more revenue from a customer than it costs in sales and marketing expenses to acquire that customer. By demonstrating a clear strategy for acquiring customers at a cost lower than the revenue they bring in, startups can address this common challenge, especially when targeting the small business market.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 20, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
6,What is the potential consequence of the funding window not being open when a company needs more money?,"['Here’s why you shouldn’t do that:\nWhat are the consequences of not raising enough money?\nNot raising enough money risks the survival of your company,\nfor the following reasons:\nFirst, you may have — and probably will have — unanticipated\nsetbacks within your business.\nMaybe a new product release slips, or you have unexpected\nquality issues, or one of your major customers goes bankrupt, or\na challenging new competitor emerges, or you get sued by a big\ncompany for patent infringement, or you lose a key engineer.\nSecond, the funding window may not be open when you need\nmore money.']","The potential consequence of the funding window not being open when a company needs more money is that the survival of the company is at risk. This is because without access to additional funding, the company may face unanticipated setbacks within the business, such as delays in product releases, unexpected quality issues, loss of major customers, emergence of new competitors, legal challenges, or key personnel departures. Additionally, if the funding window is closed when more money is needed, the company may struggle to secure the necessary resources for continued operations and growth.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 47, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
7,"How can combining a useful graduate degree with a substantive undergraduate degree make you a ""double threat"" in the workforce?","['workforce in a high-impact way when you graduate, and you’ll\nhave to go get a useful graduate degree.\nAnd even if you are already planning to get a useful graduate\ndegree, you are much better oW combining it with a substantive\nundergraduate degree — thereby becoming a “double threat”.\nMore on this in a bit.\nWhich undergraduate degrees are useful in\nthe real world?\nTypically, those that have a technical element of some form —\nthat teach you how to do something substantive.\nEngineering degrees obviously qualify. The current myth that\nengineering and computer science degrees are less useful']","Combining a useful graduate degree with a substantive undergraduate degree can make you a ""double threat"" in the workforce by providing you with a strong technical foundation and practical skills. This combination enhances your ability to contribute in a high-impact way and increases your value to potential employers.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
8,What are the key areas to focus on when hiring the best people for a startup?,"[""How to hire the best people you've\never worked with\nThere are many aspects to hiring great people, and various peo-\nple smarter than me have written extensively on the topic.\nSo I’m not going to try to be comprehensive.\nBut I am going to relay some lessons learned through hard\nexperience on how to hire the best people you’ve ever worked\nwith — particularly for a startup.\nI’m going to cover two key areas in this post:\n•\nCriteria: what to value when evaluating candidates.\n•\nAnd process: how to actually run the hiring process, and if\nnecessary the aaermath of making a mistake.\nCriteria 7rst""]","The key areas to focus on when hiring the best people for a startup are criteria and process. Criteria involve what to value when evaluating candidates, while process entails how to run the hiring process and handle any aftermath of making a mistake.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 73, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
9,What are the four distinct roles that chance plays when humans react creatively with each other and their environment?,"['that chance is immune from human interventions. However, one\nmust be careful not to read any unconsciously purposeful intent\ninto “interventions”… [which] are to be viewed as accidental,\nunwilled, inadvertent, and unforseeable.\nIndeed, chance plays several distinct roles when humans react cre-\natively with one another and with their environment…\nWe can observe chance arriving in four major forms and for four\ndiWerent reasons. The principles involved aWect everyone.\nHere’s where it helps to be a neurologist writing on this topic:\nThe four kinds of chance each have a diWerent kind of motor']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 167, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
